 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -- Summary of PEER Ground Motion Database Search Criteria --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitude Min:,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitude Max:,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rrup Min (km):,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rrup Max (km):,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rjb Min (km):,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rjb Max (km):,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vs30 Min (m/sec):,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vs30 Max (m/sec):,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9-95 Min (sec):,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9-95 Max (sec):,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale Factor Min:,-1.00E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale Factor Max:,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42,1.55714286,1.21503114,1.37032766,1.07733406,1.30845086,1.36905515,1.33988825,1.05753008,1.08610693,1.30399909,0.99074281,1.09877135,1.43689293,1.15887391,,,,,,,,,,,,,,,,
0.44,1.48636364,1.19527462,1.36656255,1.04545629,1.20723355,1.37392516,1.25727361,1.1752105,1.01611695,1.46433487,0.92514011,1.0136156,1.23646155,1.28343429,,,,,,,,,,,,,,,,
0.45,1.45333333,1.1946661,1.37802903,1.03570176,1.18180368,1.41388865,1.21704132,1.18079489,1.00769916,1.47557156,0.96138484,0.95392463,1.24426136,1.31029091,,,,,,,,,,,,,,,,
0.46,1.42173913,1.20466935,1.3798062,1.05176237,1.23571584,1.45044333,1.2570233,1.15962572,0.99097712,1.41089347,0.99334457,0.98013308,1.2327537,1.33578336,,,,,,,,,,,,,,,,
0.48,1.3625,1.20419303,1.39191548,1.04178801,1.2530395,1.54963171,1.27931339,1.1330754,0.94809057,1.28974902,1.01387544,1.0261233,1.17157226,1.37745973,,,,,,,,,,,,,,,,
0.5,1.308,1.21662455,1.4677744,1.00844878,1.1600149,1.74473962,1.21209096,1.12043789,0.94927273,1.32028692,0.93685994,1.04711108,1.26232779,1.4131037,,,,,,,,,,,,,,,,
0.55,1.18909091,1.2497872,1.71664628,0.90989511,0.9551058,2.1796404,0.80622248,1.0616119,0.80057254,1.41794984,1.03033935,1.51910845,1.28229576,1.44502551,,,,,,,,,,,,,,,,
0.6,1.09,1.23189686,1.81294071,0.83707639,1.18105572,2.36941917,0.57702378,1.12906722,0.77009695,1.62865543,1.01547149,1.442896,0.97163777,1.23364508,,,,,,,,,,,,,,,,
0.65,1.00615385,1.24140393,1.80737578,0.8526637,1.49188482,2.03383208,0.607013,1.28671806,0.76435145,1.87856818,0.88751184,1.33068833,0.71212565,1.42134588,,,,,,,,,,,,,,,,
0.667,0.98050975,1.2406076,1.83106221,0.8405543,1.57483844,1.88375233,0.64466203,1.29482601,0.74923062,2.02551846,0.85065485,1.32617219,0.61472294,1.4416981,,,,,,,,,,,,,,,,
0.7,0.93428571,1.21708452,1.85474072,0.79865327,1.73529711,1.6538035,0.62475005,1.30426697,0.7695247,2.15784741,0.761773,1.34069643,0.51360961,1.30927643,,,,,,,,,,,,,,,,
0.75,0.872,1.10072238,1.63580908,0.74066697,1.59680724,1.33056915,0.58448489,1.26366626,0.74017662,1.77156921,0.65706349,1.24232483,0.44114571,1.37941639,,,,,,,,,,,,,,,,
0.8,0.8175,0.99730117,1.40941747,0.70568845,1.37855498,0.91794206,0.66366245,1.34590501,0.67538848,1.37464177,0.6792736,1.15305143,0.4384697,1.34612223,,,,,,,,,,,,,,,,
0.85,0.76941176,0.95230522,1.34450083,0.67451445,1.33032078,0.80036372,0.74989684,1.37894666,0.58561718,1.20899862,0.7611539,0.9858531,0.39454623,1.32735521,,,,,,,,,,,,,,,,
0.9,0.72666667,0.89236248,1.24012232,0.64212278,1.2387818,0.81760056,0.79563714,1.40257314,0.52750906,1.05064376,0.74992815,0.83820041,0.40065589,1.10209491,,,,,,,,,,,,,,,,
0.95,0.68842105,0.82249493,1.13364017,0.59674836,1.09739571,0.76522504,0.71866824,1.3687366,0.53738401,0.80876753,0.83005597,0.78736241,0.36415491,0.94719888,,,,,,,,,,,,,,,,
1,0.654,0.77325758,1.06152248,0.56327332,0.96141498,0.6456237,0.68164176,1.27088014,0.53796365,0.71034678,0.77526651,0.73167098,0.37480699,1.04296031,,,,,,,,,,,,,,,,
1.1,0.59454545,0.69139811,1.0059956,0.47518235,1.13832545,0.61050172,0.584497,1.03873685,0.43922792,0.51968525,0.74566086,0.5941052,0.29093211,0.95230875,,,,,,,,,,,,,,,,
1.2,0.545,0.60161295,0.93557703,0.38686086,1.13472582,0.64528425,0.52822414,0.89250391,0.32069908,0.41571493,0.72194662,0.38812747,0.23092182,0.73798144,,,,,,,,,,,,,,,,
1.3,0.50307692,0.56063836,0.86659296,0.36270243,0.94775049,0.64321598,0.52790325,0.90627815,0.31559203,0.36701957,0.68682794,0.33014519,0.19222679,0.68942419,,,,,,,,,,,,,,,,
1.4,0.46714286,0.52856609,0.81807817,0.34151029,0.70802873,0.72187786,0.51979146,0.8871554,0.388176,0.29196921,0.62802601,0.28503445,0.13660812,0.71899366,,,,,,,,,,,,,,,,
1.5,0.436,0.5178439,0.81502791,0.32902223,0.62019874,0.79112736,0.43922191,0.88433335,0.40879756,0.31417373,0.66830239,0.27188801,0.11012773,0.67026819,,,,,,,,,,,,,,,,
1.6,0.40875,0.49766931,0.78422354,0.3158216,0.59172532,0.84193113,0.44028413,0.88123093,0.42292097,0.31244686,0.52206942,0.28924145,0.11478076,0.56006209,,,,,,,,,,,,,,,,
1.7,0.38470588,0.44673327,0.6813924,0.29288648,0.5285216,0.76754377,0.33548938,0.67351083,0.40848021,0.24987979,0.53882433,0.30649912,0.12151432,0.53706939,,,,,,,,,,,,,,,,
1.8,0.36333333,0.41663153,0.66301623,0.2618063,0.46938148,0.8002995,0.26246516,0.56220396,0.37791737,0.2238312,0.61408412,0.28041348,0.12918202,0.44653699,,,,,,,,,,,,,,,,
1.9,0.34421053,0.36911332,0.59295293,0.22977312,0.39841465,0.68486306,0.22299858,0.47772919,0.36693948,0.19117142,0.63404611,0.25048397,0.13471615,0.32977062,,,,,,,,,,,,,,,,
